,경기 날짜,Team_A,Team_B,경기장소,경기시작시간,관중수
316,01. 17,현대캐피탈,KB손해보험,천안유관순,19:00,"2,900"
317,01. 18,KGC인삼공사,흥국생명,대전충무,17:00,"1,001"
318,01. 19,,,,,
319,01. 20,,,,,
320,01. 21,,,,,
321,01. 22,,,,,
322,01. 23,,,,,
323,01. 24,대한항공,삼성화재,인천계양,19:00,"1,524"
324,01. 25,한국도로공사,현대건설,김천실내,17:00,"2,776"
325,01. 25,OK저축은행,KB손해보험,안산상록수,19:00,856
326,01. 26,우리카드,한국전력,서울장충,19:00,"2,078"
327,01. 27,현대캐피탈,대한항공,천안유관순,14:00,"4,339"
328,01. 27,IBK기업은행,흥국생명,화성종합실내,16:00,"2,744"
329,01. 28,삼성화재,OK저축은행,대전충무,14:00,"3,427"
330,01. 28,GS칼텍스,KGC인삼공사,서울장충,16:00,"2,014"
331,01. 29,,,,,
332,01. 30,IBK기업은행,한국도로공사,화성종합실내,17:00,"1,321"
333,01. 30,우리카드,KB손해보험,서울장충,19:00,"1,702"
334,01. 31,KGC인삼공사,현대건설,대전충무,17:00,966
335,01. 31,한국전력,현대캐피탈,수원,19:00,"2,757"
336,02. 01,OK저축은행,대한항공,안산상록수,19:00,"1,012"
337,02. 02,우리카드,삼성화재,서울장충,19:00,"2,526"
338,02. 03,한국전력,KB손해보험,수원,14:00,"2,825"
339,02. 03,KGC인삼공사,흥국생명,대전충무,16:00,"1,507"
340,02. 04,현대캐피탈,OK저축은행,천안유관순,14:00,"4,341"
341,02. 04,GS칼텍스,한국도로공사,서울장충,16:00,"2,426"
342,02. 05,,,,,
343,02. 06,현대건설,IBK기업은행,수원,17:00,"1,451"
344,02. 06,우리카드,대한항공,서울장충,19:00,"2,003"
345,02. 07,흥국생명,GS칼텍스,인천계양,17:00,764
346,02. 07,삼성화재,한국전력,대전충무,19:00,"2,452"
347,02. 08,한국도로공사,KGC인삼공사,김천실내,17:00,"2,084"
348,02. 08,KB손해보험,현대캐피탈,의정부,19:00,"2,354"
349,02. 09,우리카드,OK저축은행,서울장충,19:00,"1,826"
350,02. 10,한국전력,대한항공,수원,14:00,"3,131"
351,02. 10,흥국생명,현대건설,인천계양,17:01,"2,132"
352,02. 11,KB손해보험,삼성화재,의정부,14:00,"2,635"
353,02. 11,IBK기업은행,GS칼텍스,화성종합실내,16:00,"1,761"
354,02. 12,,,,,
355,02. 13,흥국생명,한국도로공사,인천계양,17:00,760
356,02. 13,현대캐피탈,우리카드,천안유관순,19:00,"2,313"
357,02. 14,KGC인삼공사,IBK기업은행,대전충무,17:00,815
358,02. 14,한국전력,OK저축은행,수원,19:00,"1,139"
359,02. 15,대한항공,KB손해보험,인천계양,14:00,"1,605"
360,02. 15,현대건설,GS칼텍스,수원,16:00,"1,963"
361,02. 16,삼성화재,현대캐피탈,대전충무,14:00,"2,806"
362,02. 17,한국전력,OK저축은행,수원,14:00,"2,417"
363,02. 17,한국도로공사,IBK기업은행,김천실내,16:00,"6,823"
364,02. 18,KB손해보험,대한항공,의정부,14:00,"3,271"
365,02. 18,흥국생명,KGC인삼공사,인천계양,16:00,"1,275"
366,02. 19,,,,,
367,02. 20,GS칼텍스,현대건설,서울장충,17:00,"1,717"
368,02. 20,현대캐피탈,삼성화재,천안유관순,19:00,"3,421"
369,02. 21,흥국생명,IBK기업은행,인천계양,17:00,791
370,02. 21,OK저축은행,우리카드,안산상록수,19:00,934
371,02. 22,KGC인삼공사,한국도로공사,대전충무,17:00,"1,012"
372,02. 22,대한항공,한국전력,인천계양,19:00,"1,402"
373,02. 23,삼성화재,KB손해보험,대전충무,19:00,"2,506"
374,02. 24,GS칼텍스,흥국생명,서울장충,16:00,"2,349"
375,02. 25,우리카드,현대캐피탈,서울장충,14:00,"4,187"
376,02. 25,IBK기업은행,현대건설,화성종합실내,16:00,"2,818"
377,02. 26,,,,,
378,02. 27,삼성화재,대한항공,대전충무,19:00,"2,892"
379,02. 28,현대건설,한국도로공사,수원,17:00,"1,046"
380,02. 28,KB손해보험,OK저축은행,의정부,19:00,"1,821"
381,03. 01,한국전력,우리카드,수원,14:00,"2,005"
382,03. 01,KGC인삼공사,GS칼텍스,대전충무,16:00,"1,220"
383,03. 02,대한항공,현대캐피탈,인천계양,19:00,"1,884"
384,03. 03,OK저축은행,삼성화재,안산상록수,14:00,"1,449"
385,03. 03,한국도로공사,흥국생명,김천실내,16:00,"3,720"
386,03. 04,KB손해보험,우리카드,의정부,14:00,"3,092"
387,03. 04,현대건설,KGC인삼공사,수원,16:00,"2,243"
388,03. 05,,,,,
389,03. 06,GS칼텍스,IBK기업은행,서울장충,17:00,"1,642"
390,03. 06,현대캐피탈,한국전력,천안유관순,19:00,"3,418"
391,03. 07,대한항공,OK저축은행,인천계양,19:00,"1,089"
392,03. 08,삼성화재,우리카드,대전충무,19:00,"1,227"
393,03. 09,한국전력,KB손해보험,수원,19:00,"1,092"
394,03. 10,OK저축은행,현대캐피탈,안산상록수,14:00,"1,755"
395,03. 10,한국도로공사,GS칼텍스,김천실내,16:00,"3,257"
396,03. 11,대한항공,우리카드,인천계양,14:00,"2,092"
397,03. 11,IBK기업은행,KGC인삼공사,화성종합실내,16:00,"2,238"
398,03. 12,,,,,
399,03. 13,흥국생명,현대건설,인천계양,17:00,795
400,03. 13,한국전력,삼성화재,수원,19:00,"1,264"
401,03. 14,현대캐피탈,KB손해보험,천안유관순,19:00,"1,659"
402,03. 15,,,,,
403,03. 16,,,,,
404,03. 17,IBK기업은행,현대건설,화성종합실내,14:00,"2,366"
405,03. 18,삼성화재,대한항공,대전충무,14:27,"2,729"
406,03. 19,현대건설,IBK기업은행,수원,19:00,"1,614"
407,03. 20,대한항공,삼성화재,인천계양,19:00,"2,004"
408,03. 21,IBK기업은행,현대건설,화성종합실내,19:00,"2,717"
409,03. 22,삼성화재,대한항공,대전충무,19:00,"1,702"
410,03. 23,한국도로공사,IBK기업은행,김천실내,19:00,"4,052"
411,03. 24,현대캐피탈,대한항공,천안유관순,19:00,"4,298"
412,03. 25,한국도로공사,IBK기업은행,김천실내,14:27,"6,152"
413,03. 26,현대캐피탈,대한항공,천안유관순,19:00,"3,177"
414,03. 27,IBK기업은행,한국도로공사,화성종합실내,19:00,"4,576"
415,03. 28,대한항공,현대캐피탈,인천계양,19:01,"2,704"
416,03. 29,,,,,
417,03. 30,대한항공,현대캐피탈,인천계양,19:00,"3,644"
418,03. 31,,,,,
419,10. 13,대한항공,현대캐피탈,인천계양,14:00,"2,929"
420,10. 14,삼성화재,우리카드,대전충무,14:00,"2,255"
421,10. 15,OK저축은행,한국전력,안산상록수,19:00,"2,313"
422,10. 16,KB손해보험,대한항공,의정부,19:01,"2,820"
423,10. 17,,,,,
424,10. 18,우리카드,OK저축은행,서울장충,19:00,"3,113"
425,10. 19,대한항공,한국전력,인천계양,19:00,"1,390"
426,10. 20,현대캐피탈,삼성화재,천안유관순,14:00,"3,233"
427,10. 21,OK저축은행,KB손해보험,안산상록수,14:00,"2,070"
428,10. 22,한국도로공사,IBK기업은행,김천실내,19:00,"5,617"
429,10. 22,우리카드,대한항공,서울장충,19:00,"1,493"
430,10. 23,GS칼텍스,현대건설,서울장충,19:00,"2,361"
431,10. 23,삼성화재,한국전력,대전충무,19:00,"1,721"
432,10. 24,흥국생명,KGC인삼공사,인천계양,19:00,"1,433"
433,10. 25,IBK기업은행,현대건설,화성종합실내,19:00,"3,247"
434,10. 25,KB손해보험,우리카드,의정부,19:00,"1,313"
435,10. 26,GS칼텍스,흥국생명,서울장충,19:00,"1,830"
436,10. 26,OK저축은행,현대캐피탈,안산상록수,19:00,"2,050"
437,10. 27,대한항공,삼성화재,인천계양,14:00,"1,692"
438,10. 27,KGC인삼공사,한국도로공사,대전충무,16:00,"2,401"
439,10. 28,한국전력,KB손해보험,수원,14:00,"2,653"
440,10. 28,흥국생명,현대건설,인천계양,16:00,"1,950"
441,10. 29,GS칼텍스,한국도로공사,서울장충,19:00,"1,702"
442,10. 29,현대캐피탈,우리카드,천안유관순,19:00,"2,135"
443,10. 30,삼성화재,OK저축은행,대전충무,19:00,"1,376"
444,10. 31,한국도로공사,현대건설,김천실내,19:00,"1,832"
445,10. 31,KGC인삼공사,GS칼텍스,대전충무,19:00,"2,498"
446,11. 01,흥국생명,IBK기업은행,인천계양,19:00,"1,231"
447,11. 01,한국전력,현대캐피탈,수원,19:00,"1,752"
448,11. 02,현대건설,KGC인삼공사,수원,19:00,"1,412"
449,11. 02,KB손해보험,삼성화재,의정부,19:00,"1,433"
450,11. 03,OK저축은행,대한항공,안산상록수,14:00,"2,170"
451,11. 03,GS칼텍스,IBK기업은행,서울장충,16:00,"2,921"
452,11. 04,우리카드,한국전력,서울장충,14:00,"2,190"
453,11. 04,한국도로공사,흥국생명,김천실내,16:00,"3,896"
454,11. 05,IBK기업은행,KGC인삼공사,화성종합실내,19:00,"1,377"
455,11. 05,현대캐피탈,KB손해보험,천안유관순,19:00,"2,019"
456,11. 06,OK저축은행,삼성화재,안산상록수,19:05,"1,432"
457,11. 07,한국도로공사,KGC인삼공사,김천실내,19:00,"1,984"
458,11. 07,GS칼텍스,현대건설,서울장충,19:00,"1,772"
459,11. 08,한국전력,대한항공,수원,19:00,"1,075"
460,11. 09,우리카드,현대캐피탈,서울장충,19:00,"2,890"
461,11. 10,삼성화재,KB손해보험,대전충무,14:00,"2,156"
462,11. 10,현대건설,한국도로공사,수원,16:00,"1,680"
463,11. 11,OK저축은행,대한항공,안산상록수,14:00,"2,546"
464,11. 11,흥국생명,GS칼텍스,인천계양,16:00,"2,507"
465,11. 12,우리카드,한국전력,서울장충,19:00,"1,648"
466,11. 13,삼성화재,현대캐피탈,대전충무,19:00,"3,017"
